volume,underlying_price,underlying_index,quote_currency,open_interest,mid_price,mark_price,low,last,interest_rate,instrument_name,high,estimated_delivery_price,creation_timestamp,bid_price,base_currency,ask_price,maturity,strike,type
0.0,8833.24,BTC-26JUN20,USD,344.4,,0.87200735,,0.938,0.0,BTC-25SEP20-15000-P,,8572.06,1583060341805,,BTC,0.979,25SEP20,15000,P
0.2,8833.24,BTC-26JUN20,USD,729.0,0.33025,0.3299109,0.296,0.363,0.0,BTC-25SEP20-9000-P,0.363,8572.06,1583060341805,0.296,BTC,0.3645,25SEP20,9000,P
1.0,8833.24,BTC-26JUN20,USD,331.0,0.27975,0.27990216,0.29,0.29,0.0,BTC-26JUN20-8000-C,0.29,8572.06,1583060341805,0.2695,BTC,0.29,26JUN20,8000,C
0.0,8833.24,BTC-26JUN20,USD,843.7,0.20425,0.2041783,,0.223,0.0,BTC-25SEP20-7000-P,,8572.06,1583060341805,0.187,BTC,0.2215,25SEP20,7000,P
0.0,8684.7,BTC-27MAR20,USD,1228.1,,0.62390813,,0.564,0.0,BTC-27MAR20-14000-P,,8572.06,1583060341806,,BTC,,27MAR20,14000,P
0.0,8684.68,BTC-27MAR20,USD,777.5,,0.23645147,,0.2386,0.0,BTC-27MAR20-7000-C,,8572.06,1583060341806,,BTC,,27MAR20,7000,C
0.0,8833.24,BTC-26JUN20,USD,159.6,0.61175,0.70543713,,0.7315,0.0,BTC-26JUN20-14000-P,,8572.06,1583060341806,0.5845,BTC,0.639,26JUN20,14000,P
0.0,8684.68,BTC-27MAR20,USD,564.4,,0.32525979,,0.357,0.0,BTC-27MAR20-6000-C,,8572.06,1583060341806,0.1215,BTC,,27MAR20,6000,C
0.0,8833.24,BTC-26JUN20,USD,1413.8,,0.0259573,,0.007,0.0,BTC-25SEP20-3000-P,,8572.06,1583060341806,,BTC,0.045,25SEP20,3000,P
0.0,8833.24,BTC-26JUN20,USD,521.9,0.40825,0.40785138,,0.4675,0.0,BTC-25SEP20-10000-P,,8572.06,1583060341806,0.37,BTC,0.4465,25SEP20,10000,P
0.0,8684.68,BTC-27MAR20,USD,3742.9,,0.00176228,,0.0125,0.0,BTC-27MAR20-18000-C,,8572.06,1583060341806,,BTC,0.03,27MAR20,18000,C
0.0,8830.12,BTC-26JUN20,USD,661.9,0.10925,0.09627912,,0.1165,0.0,BTC-26JUN20-6000-P,,8572.06,1583060341806,0.1,BTC,0.1185,26JUN20,6000,P
0.0,8833.24,BTC-26JUN20,USD,440.9,,0.05676911,,0.073,0.0,BTC-25SEP20-4000-P,,8572.06,1583060341806,,BTC,0.09,25SEP20,4000,P
0.0,8833.24,BTC-26JUN20,USD,195.8,,0.97627185,,1.0175,0.0,BTC-25SEP20-16000-P,,8572.06,1583060341806,,BTC,1.079,25SEP20,16000,P
0.0,8684.7,BTC-27MAR20,USD,3941.8,0.0255,0.01193114,,0.022,0.0,BTC-27MAR20-14000-C,,8572.06,1583060341806,0.022,BTC,0.029,27MAR20,14000,C
0.0,8830.12,BTC-26JUN20,USD,10.9,,0.57330639,,0.5975,0.0,BTC-26JUN20-4000-C,,8572.06,1583060341806,,BTC,0.6975,26JUN20,4000,C
0.0,8833.24,BTC-26JUN20,USD,1265.3,0.58125,0.57772435,,0.558,0.0,BTC-25SEP20-12000-P,,8572.06,1583060341806,0.5325,BTC,0.63,25SEP20,12000,P
1.0,8833.24,BTC-26JUN20,USD,361.0,0.09925,0.09909892,0.089,0.089,0.0,BTC-25SEP20-5000-P,0.089,8572.06,1583060341806,0.089,BTC,0.1095,25SEP20,5000,P
8.4,8833.24,BTC-26JUN20,USD,820.4,0.228,0.21874249,0.171,0.282,0.0,BTC-25SEP20-12000-C,0.282,8572.06,1583060341806,0.185,BTC,0.271,25SEP20,12000,C
0.0,8684.7,BTC-27MAR20,USD,41.7,,0.53997393,,0.5455,0.0,BTC-27MAR20-4000-C,,8572.06,1583060341806,0.05,BTC,,27MAR20,4000,C
0.0,8830.12,BTC-26JUN20,USD,230.4,0.439,0.48912669,,0.5035,0.0,BTC-26JUN20-5000-C,,8572.06,1583060341806,0.353,BTC,0.525,26JUN20,5000,C
10.0,8830.12,BTC-26JUN20,USD,1287.1,0.21175,0.21825079,0.172,0.172,0.0,BTC-26JUN20-10000-C,0.238,8572.06,1583060341806,0.1855,BTC,0.238,26JUN20,10000,C
0.0,8833.24,BTC-26JUN20,USD,1153.1,,0.77703188,,0.7945,0.0,BTC-25SEP20-14000-P,,8572.06,1583060341806,0.346,BTC,,25SEP20,14000,P
0.0,8830.12,BTC-26JUN20,USD,63.5,0.40375,0.41663451,,0.3665,0.0,BTC-26JUN20-6000-C,,8572.06,1583060341806,0.3375,BTC,0.47,26JUN20,6000,C
0.0,8830.12,BTC-26JUN20,USD,9.6,,0.00904478,,0.0005,0.0,BTC-26JUN20-3000-P,,8572.06,1583060341807,,BTC,0.0225,26JUN20,3000,P
34.2,8833.24,BTC-26JUN20,USD,3181.9,0.148,0.17328004,0.1495,0.1495,0.0,BTC-25SEP20-15000-C,0.1495,8572.06,1583060341807,0.1465,BTC,0.1495,25SEP20,15000,C
1.2,8830.12,BTC-26JUN20,USD,530.7,0.07325,0.05558374,0.0665,0.0665,0.0,BTC-26JUN20-5000-P,0.0665,8572.06,1583060341807,0.0665,BTC,0.08,26JUN20,5000,P
0.0,8684.7,BTC-27MAR20,USD,278.4,,0.41203424,,0.369,0.0,BTC-27MAR20-12000-P,,8572.06,1583060341807,,BTC,,27MAR20,12000,P
0.0,8833.24,BTC-26JUN20,USD,139.5,0.8255,1.07912435,,1.0905,0.0,BTC-25SEP20-17000-P,,8572.06,1583060341807,0.4735,BTC,1.1775,25SEP20,17000,P
247.0,8830.12,BTC-26JUN20,USD,951.5,0.1575,0.16051552,0.1646,0.1654,0.0,BTC-26JUN20-12000-C,0.1654,8572.06,1583060341807,0.1375,BTC,0.1775,26JUN20,12000,C
0.0,8833.24,BTC-26JUN20,USD,1991.4,0.6545,0.66806828,,0.641,0.0,BTC-25SEP20-13000-P,,8572.06,1583060341807,0.58,BTC,0.729,25SEP20,13000,P
0.0,8833.24,BTC-26JUN20,USD,327.4,0.25175,0.24504911,,0.2485,0.0,BTC-25SEP20-11000-C,,8572.06,1583060341807,0.2045,BTC,0.299,25SEP20,11000,C
0.0,8830.14,BTC-26JUN20,USD,123.1,0.33025,0.35492344,,0.2985,0.0,BTC-26JUN20-7000-C,,8572.06,1583060341807,0.2505,BTC,0.41,26JUN20,7000,C
0.0,8684.7,BTC-27MAR20,USD,214.4,,0.42839262,,0.4645,0.0,BTC-27MAR20-5000-C,,8572.06,1583060341807,,BTC,,27MAR20,5000,C
55.0,8684.7,BTC-27MAR20,USD,3762.4,0.09125,0.08645583,0.0845,0.0881,0.0,BTC-27MAR20-8000-P,0.0881,8572.06,1583060341807,0.09,BTC,0.0925,27MAR20,8000,P
0.0,8833.24,BTC-26JUN20,USD,547.1,0.1485,0.14827647,,0.1685,0.0,BTC-25SEP20-6000-P,,8572.06,1583060341807,0.1335,BTC,0.1635,25SEP20,6000,P
4.9,8833.24,BTC-26JUN20,USD,543.1,0.2585,0.25835265,0.247,0.247,0.0,BTC-25SEP20-8000-P,0.25,8572.06,1583060341807,0.2275,BTC,0.2895,25SEP20,8000,P
50.0,8830.12,BTC-26JUN20,USD,86.6,0.40575,0.52001006,0.5198,0.5198,0.0,BTC-26JUN20-12000-P,0.5198,8572.06,1583060341807,0.3715,BTC,0.44,26JUN20,12000,P
0.8,8830.12,BTC-26JUN20,USD,3795.8,0.11475,0.11936017,0.117,0.117,0.0,BTC-26JUN20-14000-C,0.117,8572.06,1583060341807,0.1125,BTC,0.117,26JUN20,14000,C
0.0,8833.24,BTC-26JUN20,USD,431.5,0.58275,0.68621184,,0.711,0.0,BTC-25SEP20-3000-C,,8572.06,1583060341807,0.451,BTC,0.7145,25SEP20,3000,C
0.0,8684.7,BTC-27MAR20,USD,1404.7,,0.00053865,,0.0105,0.0,BTC-27MAR20-4000-P,,8572.06,1583060341807,,BTC,0.0225,27MAR20,4000,P
0.0,8830.12,BTC-26JUN20,USD,829.9,0.1645,0.16429605,,0.1775,0.0,BTC-25SEP20-16000-C,,8572.06,1583060341807,0.1385,BTC,0.1905,25SEP20,16000,C
25.0,8684.7,BTC-27MAR20,USD,2456.5,0.17425,0.16532639,0.1653,0.1653,0.0,BTC-27MAR20-8000-C,0.1653,8572.06,1583060341807,0.1635,BTC,0.185,27MAR20,8000,C
0.0,8684.7,BTC-27MAR20,USD,2172.1,,0.00409852,,0.013,0.0,BTC-27MAR20-5000-P,,8572.06,1583060341807,,BTC,0.0335,27MAR20,5000,P
354.6,8684.7,BTC-27MAR20,USD,4025.8,0.075,0.07377156,0.063,0.0805,0.0,BTC-27MAR20-10000-C,0.0916,8572.06,1583060341807,0.068,BTC,0.082,27MAR20,10000,C
0.0,8684.7,BTC-27MAR20,USD,2462.6,0.0285,0.0161075,,0.028,0.0,BTC-27MAR20-6000-P,,8572.06,1583060341807,0.025,BTC,0.032,27MAR20,6000,P
0.0,8833.24,BTC-26JUN20,USD,861.5,,0.41143888,,0.358,0.0,BTC-25SEP20-7000-C,,8572.06,1583060341807,,BTC,0.4955,25SEP20,7000,C
1.4,8833.24,BTC-26JUN20,USD,198.5,0.49225,0.49078247,0.479,0.479,0.0,BTC-25SEP20-11000-P,0.479,8572.06,1583060341807,0.449,BTC,0.5355,25SEP20,11000,P
0.0,8833.24,BTC-26JUN20,USD,482.7,,0.46878554,,0.458,0.0,BTC-25SEP20-6000-C,,8572.06,1583060341807,0.05,BTC,,25SEP20,6000,C
0.0,8833.24,BTC-26JUN20,USD,768.3,0.191,0.19105471,,0.193,0.0,BTC-25SEP20-14000-C,,8572.06,1583060341807,0.1565,BTC,0.2255,25SEP20,14000,C
53.0,8830.12,BTC-26JUN20,USD,369.2,0.212,0.18623186,0.1995,0.2395,0.0,BTC-26JUN20-8000-P,0.2395,8572.06,1583060341807,0.1965,BTC,0.2275,26JUN20,8000,P
50.0,8684.7,BTC-27MAR20,USD,17069.1,0.113,0.22518336,0.206,0.2061,0.0,BTC-27MAR20-10000-P,0.2061,8572.06,1583060341807,0.0565,BTC,0.1695,27MAR20,10000,P
17.2,8684.7,BTC-27MAR20,USD,2181.4,0.05075,0.04243973,0.0485,0.0485,0.0,BTC-27MAR20-7000-P,0.0535,8572.06,1583060341807,0.0475,BTC,0.054,27MAR20,7000,P
0.0,8830.12,BTC-26JUN20,USD,516.1,0.15575,0.14796641,,0.1485,0.0,BTC-26JUN20-7000-P,,8572.06,1583060341807,0.1425,BTC,0.169,26JUN20,7000,P
0.2,8833.24,BTC-26JUN20,USD,578.5,0.31475,0.31067451,0.262,0.365,0.0,BTC-25SEP20-9000-C,0.365,8572.06,1583060341807,0.2605,BTC,0.369,25SEP20,9000,C
0.0,8833.24,BTC-26JUN20,USD,216.6,,0.60377516,,0.6255,0.0,BTC-25SEP20-4000-C,,8572.06,1583060341808,,BTC,0.6535,25SEP20,4000,C
0.0,8833.24,BTC-26JUN20,USD,813.0,0.208,0.19583794,,0.213,0.0,BTC-25SEP20-13000-C,,8572.06,1583060341808,0.169,BTC,0.247,25SEP20,13000,C
0.0,8684.68,BTC-27MAR20,USD,1855.3,,0.84686643,,0.9135,0.0,BTC-27MAR20-16000-P,,8572.06,1583060341808,,BTC,,27MAR20,16000,P
4.2,8833.24,BTC-26JUN20,USD,598.2,0.2805,0.2753665,0.209,0.209,0.0,BTC-25SEP20-10000-C,0.213,8572.06,1583060341808,0.2295,BTC,0.3315,25SEP20,10000,C
1.0,8833.24,BTC-26JUN20,USD,91.2,0.044,0.02647124,0.0365,0.0365,0.0,BTC-26JUN20-4000-P,0.0365,8572.06,1583060341808,0.0365,BTC,0.0515,26JUN20,4000,P
1.0,8833.24,BTC-26JUN20,USD,1744.3,0.154,0.15381418,0.125,0.125,0.0,BTC-25SEP20-17000-C,0.125,8572.06,1583060341808,0.132,BTC,0.176,25SEP20,17000,C
0.0,8684.68,BTC-27MAR20,USD,2751.9,,0.00459694,,0.013,0.0,BTC-27MAR20-16000-C,,8572.06,1583060341808,,BTC,0.025,27MAR20,16000,C
0.0,8833.24,BTC-26JUN20,USD,392.4,0.4485,0.53276672,,0.537,0.0,BTC-25SEP20-5000-C,,8572.06,1583060341808,0.05,BTC,0.847,25SEP20,5000,C
10.5,8684.68,BTC-27MAR20,USD,4778.5,0.0405,0.03034007,0.038,0.04,0.0,BTC-27MAR20-12000-C,0.04,8572.06,1583060341808,0.039,BTC,0.042,27MAR20,12000,C
0.0,8684.68,BTC-27MAR20,USD,1197.1,,1.07430353,,0.952,0.0,BTC-27MAR20-18000-P,,8572.06,1583060341808,,BTC,,27MAR20,18000,P
0.0,8833.24,BTC-26JUN20,USD,420.3,0.35125,0.35116291,,0.396,0.0,BTC-26JUN20-10000-P,,8572.06,1583060341808,0.334,BTC,0.3685,26JUN20,10000,P
0.0,8833.24,BTC-26JUN20,USD,358.6,,0.66916942,,0.6695,0.0,BTC-26JUN20-3000-C,,8572.06,1583060341808,0.5845,BTC,,26JUN20,3000,C
0.0,8833.24,BTC-26JUN20,USD,325.6,0.356,0.35223284,,0.372,0.0,BTC-25SEP20-8000-C,,8572.06,1583060341808,0.2985,BTC,0.4135,25SEP20,8000,C
