,0.05,0.1,0.15000000000000002,0.2,0.25,0.3
76,0.20901746164784205,0.20920113701127618,0.2093831538293103,0.20956342430875455,0.2097418949429951,0.20991853741980263
77,0.20683597535252218,0.20705871739809434,0.2072791515535901,0.20749715466204735,0.20771264706750625,0.20792558177242196
78,0.20466259294569691,0.20492474319062964,0.2051839586086226,0.20544007035537593,0.20569296420464261,0.2059425676605165
79,0.20249851132004387,0.20280030763405565,0.2030985774958565,0.20339309386182816,0.20368369764171407,0.20397028244612414
80,0.20034521029232763,0.2006867589759613,0.20102424080204914,0.20135735548714645,0.20168588658280373,0.2020096835323933
81,0.1982044883694231,0.19858573170078325,0.19896243830315952,0.19933421674527516,0.1997007781881974,0.20006191543413387
82,0.19607849992608736,0.196499179050998,0.19691494515614374,0.19732529459897885,0.197729848252113,0.19812832727317112
83,0.19396979219904595,0.1944294055387435,0.19488385011946982,0.1953324856822532,0.19577482177282973,0.19621049006222577
84,0.19188133971192092,0.1923790975217777,0.192871582230417,0.19335798921104727,0.19383769234215303,0.19431021288190253
85,0.18981657279355754,0.19035134913887472,0.19088093374273712,0.19140432684284978,0.19192073889014205,0.19242955674355175
